355_at,51226_at,51260_at,5447_at,54495_at,55106_at,5935_at,90488_at,9609_at,label
8.07,8.34,10.64,8.25,8.24,4.54,8.34,10.89,4.70,0.00
8.94,4.67,10.20,7.61,9.59,4.25,9.30,10.82,6.83,0.00
5.22,9.46,9.55,8.62,9.60,3.97,8.67,11.41,4.63,0.00
6.75,5.49,10.06,8.82,7.91,3.94,8.38,10.56,4.67,0.00
6.67,7.42,10.91,7.94,9.12,5.96,8.79,11.14,4.28,0.00
8.53,9.12,8.63,9.24,9.83,4.13,8.03,11.48,4.30,0.00
8.05,4.89,9.64,8.12,7.82,4.42,7.86,10.44,4.70,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8.04,5.64,10.80,8.07,8.36,7.73,7.33,9.43,4.08,0.00
6.02,7.72,8.83,8.92,8.75,7.00,7.00,11.10,5.38,0.00
4.74,6.14,9.08,7.42,9.37,4.74,8.50,7.91,4.78,1.00
5.31,5.55,9.52,6.98,9.87,4.86,9.29,10.14,4.57,1.00
7.02,5.73,8.44,6.15,9.70,5.86,8.32,8.33,4.76,1.00
8.48,6.63,9.38,7.37,9.88,7.56,9.47,10.23,7.10,1.00
9.11,5.93,9.86,6.67,10.36,8.56,9.08,10.87,4.53,1.00
7.47,5.38,10.08,7.73,8.63,4.86,8.02,10.01,4.93,0.00
4.04,9.20,9.51,9.36,9.48,7.06,7.92,10.92,5.47,0.00
8.61,5.49,9.74,9.27,8.89,4.40,8.82,9.51,4.88,0.00
10.84,8.48,9.30,7.83,9.65,10.63,8.97,10.50,5.44,0.00
10.00,9.59,9.95,6.69,8.00,9.83,8.34,10.12,4.58,0.00
8.63,6.30,9.26,8.14,9.17,4.27,7.90,9.89,4.91,1.00
5.58,10.16,9.22,7.40,9.85,7.70,7.93,11.18,4.77,1.00
4.81,6.53,10.71,8.37,8.23,4.17,9.45,9.52,5.59,1.00
5.66,7.37,9.00,7.94,7.13,7.53,7.46,9.96,4.47,0.00
8.28,8.30,9.91,7.32,9.93,8.51,9.06,10.60,5.63,1.00
8.89,7.74,8.71,7.99,7.90,8.60,7.92,10.45,4.45,0.00
6.97,5.23,10.48,7.49,9.19,8.80,8.41,10.33,5.22,1.00
8.16,5.85,8.84,8.46,8.95,4.59,8.21,9.69,4.93,0.00
8.54,7.18,10.21,8.06,8.50,6.97,8.06,9.69,5.55,0.00
8.63,7.50,9.96,7.57,8.32,9.25,7.56,10.35,6.41,0.00
9.14,9.45,6.85,9.19,7.46,8.13,8.15,10.22,6.05,0.00
5.07,5.39,10.12,8.39,10.52,4.25,8.24,10.52,5.49,1.00
6.39,4.90,3.53,8.87,8.22,6.99,8.36,9.32,5.11,1.00
6.89,5.86,9.72,6.99,9.11,4.83,9.11,11.64,4.78,0.00
5.78,5.40,11.30,8.40,9.32,4.27,9.39,10.59,5.06,1.00
8.89,8.87,10.23,7.96,9.59,8.64,9.64,10.46,5.72,1.00
6.18,5.32,11.09,7.84,10.16,7.20,9.31,10.26,4.63,1.00
7.26,5.02,9.82,7.44,9.65,7.80,7.75,9.86,4.64,1.00
7.87,8.16,9.96,8.77,9.09,8.12,8.42,11.66,4.70,0.00
7.37,8.59,10.00,8.48,8.48,7.48,8.00,11.06,6.29,0.00
4.39,4.81,8.33,8.51,7.93,4.45,8.59,11.22,5.27,0.00
6.99,9.97,9.58,8.13,10.03,8.28,8.23,11.41,5.74,0.00
8.51,10.72,9.98,7.97,9.59,7.35,9.20,10.37,4.97,0.00
7.90,9.40,9.36,7.74,10.23,8.87,8.16,11.15,5.95,1.00
7.51,6.38,9.41,6.84,10.87,8.17,8.84,10.23,6.00,1.00
6.21,5.95,9.71,6.83,9.01,4.52,8.58,10.61,4.98,0.00
