1365_at,144501_at,221120_at,23216_at,27345_at,2810_at,28231_at,4013_at,57613_at,64798_at,83468_at,84870_at,92745_at,label
4.08,7.37,8.57,6.13,4.99,6.60,6.12,5.95,5.72,6.58,9.38,3.68,4.18,1.00
5.36,9.64,8.62,5.82,6.26,14.28,8.14,5.41,6.34,5.61,5.29,3.77,4.58,1.00
3.83,10.51,8.74,6.24,7.75,13.53,6.55,6.07,6.34,4.80,5.13,3.64,8.15,1.00
3.78,10.43,8.05,5.80,7.21,13.16,7.98,9.24,6.64,6.53,4.33,3.81,4.59,0.00
4.07,5.02,6.54,7.46,8.63,6.33,6.53,5.42,8.55,5.68,4.26,4.01,4.76,0.00
6.17,9.17,7.50,6.88,4.88,11.83,11.82,6.32,6.84,5.81,9.18,4.07,6.76,1.00
4.85,6.32,9.24,6.02,6.00,11.83,10.67,5.02,6.94,8.02,4.67,3.77,4.50,1.00
4.19,5.05,8.52,5.93,5.36,6.83,8.42,5.60,6.87,4.77,4.69,3.83,4.55,0.00
10.03,8.74,8.16,5.15,6.96,9.43,9.66,5.51,8.45,9.03,4.36,3.76,4.26,0.00
4.04,6.01,8.82,6.47,4.99,6.85,10.30,5.96,7.70,5.50,4.26,4.01,4.39,0.00
3.98,5.00,8.76,6.26,7.95,5.71,7.70,8.34,6.10,5.92,4.54,4.16,4.15,0.00
4.16,5.92,8.77,5.81,4.93,7.06,6.11,5.35,6.23,5.44,4.42,3.98,4.28,1.00
