ENSG00000131149,ENSG00000104093,ENSG00000135069,ENSG00000110002,ENSG00000196387,ENSG00000102445,ENSG00000169583,ENSG00000102362,ENSG00000198846,label
6.23,4.18,8.74,3.13,5.27,3.11,3.61,3.70,3.43,1.00
8.47,4.55,8.44,3.12,5.92,3.03,7.15,4.04,3.52,1.00
7.67,2.87,7.67,5.79,3.42,3.68,2.99,3.14,5.82,0.00
9.84,3.34,7.35,3.19,6.56,3.11,5.55,4.08,2.83,1.00
7.46,3.72,6.37,3.71,6.61,3.05,2.72,4.15,4.83,0.00
7.17,3.57,9.71,3.14,6.59,3.36,6.88,4.08,3.80,0.00
8.66,3.34,8.21,3.26,7.29,8.45,2.78,3.36,3.49,0.00
8.68,3.66,9.20,3.08,7.28,4.47,3.07,3.17,3.27,0.00
8.48,4.30,8.68,5.38,7.84,4.39,2.68,3.51,2.91,0.00
6.19,4.24,9.15,6.35,6.63,3.89,2.73,3.95,2.83,0.00
7.03,4.27,10.23,3.55,7.10,3.28,2.94,4.08,3.03,0.00
7.50,4.71,7.69,5.45,7.12,4.19,2.67,3.34,3.03,0.00
7.68,4.88,9.83,3.34,7.69,4.98,2.72,3.25,2.77,0.00
7.91,4.45,8.67,6.13,7.72,5.68,2.79,3.23,2.98,0.00
6.62,4.46,9.84,5.48,7.28,3.88,2.65,4.75,2.97,0.00
9.05,4.19,7.48,3.15,7.86,3.07,3.86,3.61,3.84,0.00
9.09,5.11,10.08,3.18,7.33,3.06,2.91,3.73,3.74,0.00
7.98,4.62,9.02,3.27,6.57,3.32,2.98,3.43,3.81,0.00
10.41,4.67,9.20,3.22,6.94,3.13,2.92,3.51,4.23,0.00
8.86,4.23,9.59,3.75,7.92,3.40,3.10,3.22,3.02,0.00
8.91,3.83,8.62,3.90,7.85,3.06,2.89,7.11,4.04,0.00
9.29,5.46,8.98,4.60,7.30,3.04,2.79,3.28,4.66,0.00
9.78,4.53,9.31,3.17,4.93,3.13,2.95,3.04,4.56,0.00
8.86,5.03,7.88,3.22,6.62,3.38,3.13,3.05,3.48,0.00
6.43,3.77,10.09,4.40,7.41,3.33,2.78,3.78,2.89,0.00
