ENSG00000163359,ENSG00000152661,ENSG00000129038,ENSG00000196611,ENSG00000113269,ENSG00000080823,ENSG00000127074,ENSG00000166510,ENSG00000142765,label
3.14,5.24,3.91,2.87,3.71,3.76,3.02,3.07,3.37,1.00
3.16,3.46,4.24,3.02,5.28,3.80,2.62,2.96,3.52,1.00
3.08,3.97,3.97,3.11,3.12,4.96,6.81,2.96,5.73,1.00
3.80,3.87,4.50,2.98,10.28,5.89,2.65,2.86,3.68,1.00
3.13,4.36,8.82,3.06,10.71,5.31,3.54,3.19,7.14,1.00
3.16,3.17,4.12,3.04,2.91,3.76,2.85,2.98,6.35,1.00
3.09,4.09,3.72,3.05,3.33,3.95,9.52,2.88,3.30,1.00
3.23,5.47,5.01,3.01,10.12,6.71,2.78,3.14,6.96,1.00
3.06,3.51,3.11,3.07,7.78,5.35,3.05,3.11,5.50,1.00
8.80,3.59,3.42,2.97,3.17,3.94,2.82,2.95,3.78,1.00
3.08,5.86,5.40,2.97,8.59,4.95,2.59,2.96,3.15,1.00
3.11,3.26,3.36,2.96,3.10,4.31,2.76,3.05,5.77,1.00
3.28,3.87,4.82,3.19,10.57,4.17,2.86,2.86,5.82,1.00
3.47,3.98,3.37,3.04,9.71,5.20,2.68,2.84,4.87,1.00
3.07,3.66,4.16,4.20,9.85,4.58,2.79,2.86,4.83,1.00
3.07,3.62,4.94,3.16,4.53,3.84,3.03,2.94,3.33,1.00
3.11,3.64,4.31,3.13,4.03,6.84,11.19,3.00,5.26,1.00
3.09,3.71,3.87,2.99,3.19,3.59,2.85,2.99,3.25,1.00
3.33,4.10,3.69,3.17,4.12,4.24,11.14,2.94,6.51,0.00
6.34,3.59,5.01,2.97,3.92,4.55,10.92,3.16,3.35,1.00
3.23,3.48,3.89,2.88,3.20,5.36,3.45,2.93,3.67,1.00
3.10,3.80,4.89,3.08,3.49,4.37,10.21,2.89,7.62,1.00
5.67,3.46,4.41,3.14,3.43,5.57,3.65,3.06,3.41,1.00
3.12,3.65,3.76,3.16,4.03,4.17,11.50,2.91,5.92,1.00
