ENSG00000075213,ENSG00000114771,ENSG00000112137,ENSG00000185022,ENSG00000115461,ENSG00000221968,ENSG00000152952,ENSG00000087253,ENSG00000101311,ENSG00000151692,label
7.19,2.78,5.00,4.11,3.87,7.12,9.00,6.68,3.62,4.15,0.00
3.41,3.08,3.22,3.77,3.46,5.68,6.46,3.05,3.75,5.64,1.00
6.61,3.09,3.61,3.87,6.76,4.31,7.78,3.09,3.81,4.02,1.00
2.88,2.88,3.02,4.22,3.12,6.25,3.10,3.12,3.13,4.35,1.00
4.04,3.31,3.19,3.98,6.19,7.21,11.27,5.78,3.20,3.73,0.00
2.93,3.46,3.18,3.46,3.23,5.84,3.15,3.29,3.06,3.90,1.00
6.85,3.75,3.29,4.74,7.78,7.78,10.76,4.13,2.77,3.68,1.00
3.11,2.79,3.21,4.45,3.09,7.63,3.05,6.87,6.94,4.05,0.00
6.82,3.22,3.26,4.50,3.30,7.52,10.11,7.43,3.12,3.59,1.00
5.45,3.13,3.26,3.90,3.63,5.44,7.53,4.64,8.33,4.15,1.00
2.82,3.16,3.63,4.94,3.19,5.74,2.88,3.39,6.73,3.02,0.00
2.98,3.05,3.87,3.79,3.22,8.20,3.05,3.23,3.41,3.48,1.00
3.25,3.17,3.13,3.87,6.22,5.00,4.32,4.03,3.65,3.77,1.00
9.10,3.08,4.40,4.64,5.35,6.96,9.45,6.04,3.71,5.68,0.00
3.21,3.11,3.96,3.75,3.32,5.74,3.11,3.29,3.61,3.62,1.00
9.82,4.52,2.98,3.88,2.99,4.04,7.83,4.45,7.42,3.40,1.00
3.85,2.96,3.60,3.60,3.38,7.48,6.51,3.43,3.67,3.61,1.00
9.05,2.88,3.08,4.47,4.14,6.82,11.09,3.97,3.48,4.30,1.00
3.33,3.28,4.56,3.79,3.23,7.82,3.43,3.08,3.57,3.77,1.00
3.34,3.08,3.62,3.50,3.38,7.11,10.44,3.93,3.10,3.77,0.00
7.98,5.43,3.12,3.79,4.78,6.45,9.79,5.96,8.18,3.63,0.00
3.26,3.06,4.33,3.65,4.96,6.56,8.41,5.33,4.75,4.60,1.00
3.66,3.00,4.06,3.53,5.19,4.76,3.67,3.48,3.10,6.25,1.00
3.12,3.12,3.32,3.75,3.23,6.00,8.76,4.29,6.69,5.30,1.00
3.29,2.92,7.01,3.49,3.24,7.04,3.21,3.22,5.54,3.73,1.00
8.05,3.12,3.18,3.66,3.37,6.16,7.57,5.48,6.09,4.20,0.00
7.39,3.09,3.33,3.86,3.24,6.11,7.10,3.01,3.45,4.95,1.00
8.85,3.05,3.11,4.03,10.33,7.34,10.49,3.16,3.23,4.25,1.00
6.74,3.71,3.14,3.66,3.15,5.95,8.64,6.04,5.99,3.68,0.00
5.33,4.03,3.09,4.51,3.20,7.87,9.08,4.89,7.13,3.88,0.00
5.77,5.60,2.97,5.41,3.34,7.00,3.19,3.21,8.90,4.12,0.00
3.47,3.20,4.47,3.75,3.25,9.85,3.41,3.20,3.32,3.44,1.00
3.67,3.27,6.60,3.51,3.37,9.53,2.92,3.21,3.57,3.56,1.00
8.89,2.97,3.05,4.44,3.16,5.88,9.53,3.21,5.30,3.91,0.00
3.15,3.24,6.19,3.89,3.24,7.25,3.11,2.91,3.66,3.45,1.00
3.26,3.12,5.79,3.46,7.22,4.69,10.37,3.23,6.11,5.92,1.00
4.16,3.23,3.26,4.06,3.75,6.01,10.22,4.63,4.23,4.08,1.00
4.90,3.05,2.97,3.77,3.31,5.02,5.51,5.82,9.00,3.72,0.00
7.36,2.97,3.01,4.27,3.16,5.64,7.04,7.99,7.78,3.56,0.00
4.41,3.57,3.14,4.11,3.24,6.51,8.33,5.67,8.02,3.82,0.00
7.38,3.15,3.20,3.38,3.13,3.62,3.82,3.23,3.74,3.43,1.00
4.65,3.26,5.73,4.07,4.40,6.92,9.45,6.71,3.65,4.70,0.00
9.25,5.02,3.15,4.03,3.76,6.25,8.99,6.13,7.59,3.54,0.00
4.24,3.17,5.07,4.60,3.38,6.80,4.98,7.10,3.28,4.48,0.00
6.25,2.91,3.07,4.14,3.41,9.05,7.91,7.86,9.01,3.43,0.00
8.10,2.94,3.00,3.86,9.93,3.72,10.32,3.02,5.41,3.72,1.00
3.84,3.04,4.14,3.52,5.02,5.51,7.29,3.29,3.73,5.70,1.00
6.44,2.91,3.08,3.98,8.14,8.17,10.92,4.28,3.42,3.68,1.00
4.13,2.98,3.44,3.72,3.34,4.33,7.21,7.39,5.83,4.90,0.00
7.32,5.40,3.40,4.54,5.82,7.35,11.30,3.78,5.11,3.60,0.00
6.50,4.20,3.16,4.09,3.40,8.04,10.25,3.78,3.88,4.11,0.00
5.99,3.20,3.04,4.02,3.08,8.00,9.11,6.09,7.62,3.46,0.00
5.35,4.44,3.09,4.47,5.17,7.48,9.09,5.91,6.58,3.29,0.00
8.07,2.94,3.07,3.94,3.09,6.83,9.89,4.35,7.39,4.34,0.00
3.21,2.80,3.14,3.67,3.98,6.68,8.27,3.81,2.93,3.52,1.00
3.47,3.12,3.25,3.78,6.56,3.83,7.72,3.13,3.43,3.53,1.00
3.78,3.12,3.10,3.39,3.58,6.41,7.26,3.80,3.71,4.41,1.00
8.47,3.07,3.11,3.91,3.19,8.42,10.60,4.99,4.72,3.51,0.00
6.66,3.01,2.88,3.68,5.06,4.12,6.09,2.84,4.02,4.40,1.00
4.65,4.00,3.26,3.33,3.14,4.26,6.53,3.32,3.49,5.80,0.00
3.18,2.74,3.36,3.64,10.08,6.74,6.38,3.06,3.83,4.69,1.00
8.37,3.11,3.08,4.09,3.13,5.21,9.15,4.16,6.37,3.52,0.00
7.73,2.98,3.14,4.14,6.95,6.66,9.79,4.99,3.35,4.30,1.00
4.12,3.03,3.32,4.07,3.94,8.79,9.98,3.94,3.99,3.64,0.00
3.30,3.06,3.22,3.64,3.17,7.44,3.44,3.50,3.20,3.47,1.00
7.08,3.57,3.41,3.73,3.89,5.44,7.82,5.15,3.91,4.66,0.00
3.31,3.21,3.12,3.58,9.25,5.84,7.86,3.65,4.92,3.49,1.00
5.31,3.24,3.28,3.77,9.55,7.15,10.91,5.42,3.53,3.49,1.00
9.50,3.06,3.38,3.62,5.34,5.95,8.00,3.81,3.36,4.72,0.00
3.61,3.14,3.38,3.52,4.62,8.85,5.27,5.65,3.23,4.84,1.00
3.56,3.13,3.06,3.66,4.58,4.13,7.75,3.56,3.49,4.59,1.00
3.95,3.04,3.19,3.53,3.51,5.44,7.71,3.94,4.89,4.99,1.00
4.71,2.88,3.37,3.66,4.57,5.80,6.68,3.48,5.59,4.63,1.00
4.46,2.93,3.02,3.48,3.61,4.96,7.50,3.62,4.08,5.37,1.00
3.93,2.97,3.24,3.59,4.97,4.91,7.33,4.69,4.15,4.19,1.00
3.06,2.98,3.71,3.96,3.68,7.65,2.98,3.78,3.73,5.61,0.00
3.46,2.93,3.16,3.72,9.17,5.20,9.35,3.26,4.46,4.22,1.00
8.11,3.09,3.30,3.71,5.78,3.88,9.24,3.27,3.83,4.22,1.00
3.42,2.92,3.84,3.70,3.16,4.35,7.13,2.87,3.17,6.14,1.00
8.13,3.15,3.71,4.11,3.49,5.65,9.40,6.74,4.30,3.94,0.00
3.14,2.93,3.24,3.29,3.12,5.68,3.25,3.68,3.40,4.37,1.00
4.32,3.05,3.31,3.83,3.20,6.73,5.60,4.63,8.29,4.43,0.00
7.48,3.06,3.13,4.76,3.22,8.52,6.72,3.83,6.71,3.51,0.00
8.52,3.03,3.20,3.87,3.21,7.27,8.47,6.09,7.86,3.72,0.00
8.05,3.12,3.83,5.47,4.45,5.27,6.36,6.65,3.71,6.82,0.00
8.62,2.94,3.65,4.27,3.10,7.24,10.56,4.05,5.90,3.47,0.00
6.03,3.25,3.05,3.73,3.12,8.47,10.02,5.65,2.92,3.45,0.00
3.13,4.58,3.03,4.20,3.43,7.24,9.40,4.46,7.67,3.72,0.00
3.31,3.16,3.22,4.18,3.02,5.86,7.29,5.08,5.38,3.66,1.00
3.85,5.63,3.12,4.52,3.18,4.53,6.93,4.18,5.38,4.31,0.00
6.44,3.06,3.13,3.91,3.24,6.35,9.99,4.42,6.09,3.74,0.00
6.02,3.03,3.60,4.42,3.62,7.15,10.47,3.42,4.09,4.86,0.00
7.33,3.16,3.67,3.87,3.18,7.24,8.51,3.66,3.68,4.69,0.00
3.51,3.02,4.70,4.91,3.19,6.70,6.95,7.39,3.53,5.90,0.00
3.26,2.98,3.40,4.98,3.39,6.54,8.21,3.56,5.65,4.72,0.00
6.88,3.17,3.04,4.24,3.17,6.49,7.85,7.03,7.79,3.55,0.00
7.77,3.20,3.11,3.59,3.76,5.55,8.87,4.70,6.11,3.61,0.00
7.78,3.72,3.12,3.96,3.37,5.22,9.76,3.42,5.63,3.71,1.00
3.30,2.93,3.45,4.43,3.27,7.95,8.18,3.68,3.38,5.09,0.00
8.77,2.99,3.45,4.06,3.45,5.82,6.02,5.99,6.45,6.16,0.00
5.40,2.94,3.66,3.86,4.98,5.34,3.03,5.51,2.94,5.20,1.00
