144501_at,22882_at,23283_at,26751_at,27445_at,3487_at,3861_at,55086_at,5644_at,56952_at,5711_at,64073_at,79633_at,84189_at,875_at,label
4.70,7.10,8.49,9.95,3.83,3.87,3.97,8.01,4.08,5.64,8.32,3.89,4.33,4.14,4.40,0.00
4.97,7.82,7.97,11.11,3.85,7.00,3.94,3.86,4.39,4.63,8.32,3.64,4.32,3.75,4.57,0.00
5.74,9.21,8.40,4.31,4.10,4.46,4.19,8.68,4.36,4.31,8.74,4.32,4.08,4.08,7.35,0.00
9.77,6.56,7.99,11.38,5.49,7.42,4.03,5.26,4.26,9.25,8.95,11.86,4.12,4.23,7.70,1.00
10.47,7.11,7.81,11.53,4.59,8.86,4.36,3.73,3.93,8.95,9.34,9.98,5.82,6.27,7.90,1.00
7.73,6.71,9.34,9.78,6.01,12.46,3.72,3.92,4.09,8.64,8.36,10.30,4.72,8.48,4.60,1.00
4.45,10.07,8.29,7.84,3.59,4.49,3.69,7.98,4.13,4.38,9.22,3.52,3.91,6.35,6.91,1.00
11.51,6.61,7.95,8.15,4.53,10.55,4.12,3.96,9.37,8.80,9.35,11.75,4.39,4.37,8.45,0.00
5.24,9.23,8.38,5.76,3.77,4.21,3.85,8.83,4.54,3.98,8.66,4.44,3.92,4.03,8.89,0.00
4.83,9.54,9.46,9.21,12.66,6.75,4.02,4.32,4.25,4.18,8.67,3.93,5.67,4.17,4.15,0.00
6.76,6.28,8.31,11.13,5.99,7.66,5.75,5.75,4.14,9.54,8.73,11.60,4.10,9.55,5.76,1.00
8.86,6.78,8.25,7.24,7.44,5.31,4.31,7.76,4.00,10.42,9.40,9.78,5.52,3.94,8.51,0.00
9.81,5.78,7.92,8.38,4.96,9.79,3.99,6.31,4.17,8.81,9.04,8.95,4.08,3.88,7.90,0.00
6.40,6.45,8.07,10.90,3.93,3.94,4.12,5.91,3.90,4.30,8.85,9.58,3.97,5.99,8.78,1.00
8.50,7.14,7.75,11.51,4.22,6.84,4.28,10.54,4.49,3.82,8.44,10.61,3.92,11.13,6.42,1.00
5.78,5.31,8.14,8.74,8.41,6.46,5.78,7.78,4.13,4.27,6.51,4.00,4.15,8.38,6.38,0.00
3.99,4.25,6.75,9.22,5.78,5.14,3.97,4.55,3.90,4.37,8.57,4.21,5.08,3.84,10.80,0.00
10.08,7.12,7.74,10.37,4.27,5.95,14.10,9.00,4.36,5.43,9.09,11.90,5.60,7.23,5.15,1.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5.29,5.68,7.71,3.73,6.42,5.48,3.93,7.54,4.14,10.41,8.28,3.78,3.96,10.10,10.27,0.00
5.41,6.31,7.76,9.65,3.95,4.76,4.27,4.15,3.94,4.52,8.89,3.83,3.87,3.99,7.25,1.00
9.75,7.33,8.73,7.89,4.72,5.24,3.80,6.09,3.99,4.20,9.03,4.89,4.02,4.10,7.34,0.00
10.03,9.11,7.76,11.66,4.01,7.94,4.62,4.21,4.26,9.70,8.60,11.93,4.12,7.21,5.16,1.00
8.52,5.58,8.58,6.55,5.14,8.42,4.20,7.05,4.14,10.54,8.47,9.60,7.92,5.63,7.92,0.00
8.50,6.81,8.03,8.97,6.24,7.94,4.18,6.77,4.02,9.24,8.67,10.57,8.74,3.81,7.29,1.00
5.93,5.92,9.15,7.50,11.81,3.87,6.87,8.08,3.71,4.49,8.33,3.31,3.51,6.35,5.87,0.00
5.31,5.70,8.37,8.79,4.01,5.13,4.02,8.07,3.74,3.85,8.56,4.12,3.83,3.94,5.57,0.00
5.90,6.48,7.74,9.09,7.74,5.18,6.27,7.65,4.31,4.98,7.46,3.61,5.29,8.28,6.25,0.00
5.11,4.77,8.73,8.01,11.72,9.03,4.09,7.01,4.26,3.98,8.80,3.79,3.97,4.97,7.51,0.00
8.34,6.77,7.87,6.57,4.89,8.91,4.02,7.73,4.05,9.56,7.82,11.38,7.12,5.74,8.15,1.00
5.67,8.14,8.53,9.28,3.94,4.30,4.06,7.84,12.24,6.90,8.52,3.40,6.65,4.13,10.36,1.00
10.62,8.08,8.19,6.07,8.54,7.21,4.20,7.65,3.89,8.15,9.45,5.74,7.49,3.92,4.36,0.00
9.05,7.78,8.47,10.72,4.19,8.05,4.59,4.10,4.48,10.09,8.87,11.67,6.06,3.84,8.03,1.00
10.48,8.55,7.15,11.45,4.86,9.12,3.93,4.60,11.70,8.52,7.74,10.60,3.94,4.69,9.95,0.00
5.12,10.18,8.48,7.53,3.56,4.20,4.33,4.10,4.33,4.07,8.56,4.28,4.11,4.02,8.82,1.00
4.97,10.11,8.32,8.62,4.38,4.65,4.63,8.80,3.99,3.76,8.99,3.47,3.95,3.96,7.54,1.00
6.42,6.67,7.20,7.63,4.03,4.64,4.19,9.90,4.31,4.82,8.47,4.93,4.27,6.52,4.55,0.00
6.79,5.17,8.09,8.89,8.67,10.02,3.95,4.30,3.92,9.20,8.37,3.91,6.45,4.13,5.35,0.00
8.91,9.12,8.55,10.97,6.19,6.68,4.72,6.13,4.25,7.21,8.44,11.76,3.76,3.83,4.18,1.00
9.75,7.10,8.00,9.43,5.30,9.82,4.67,4.22,4.20,9.05,8.87,11.97,3.72,4.08,6.77,0.00
10.22,8.19,7.74,11.59,4.15,6.99,6.34,7.07,4.00,10.25,8.08,10.09,3.93,3.90,4.65,1.00
9.30,7.02,8.87,5.74,4.82,9.46,3.84,8.58,4.24,9.89,8.79,8.95,4.31,4.06,5.79,0.00
10.25,6.80,6.87,12.74,4.68,10.32,5.58,9.05,4.59,3.79,9.15,11.56,3.84,10.89,8.10,0.00
9.98,6.76,8.39,9.29,4.99,9.45,4.05,5.99,4.14,9.71,8.66,11.86,4.49,5.27,6.66,0.00
9.98,8.14,8.24,9.56,5.23,9.53,3.88,6.63,4.15,9.89,9.38,11.96,7.97,4.22,4.36,0.00
5.26,5.41,7.80,8.56,3.57,5.31,3.68,8.53,3.92,10.63,8.91,3.79,7.74,3.86,9.68,0.00
12.39,8.39,8.52,8.30,3.93,10.87,3.79,3.72,4.23,9.60,9.24,10.12,5.82,3.78,9.52,0.00
9.64,8.11,7.94,10.76,3.95,4.12,14.15,7.74,4.14,9.41,9.36,10.45,3.84,4.15,7.42,1.00
10.51,7.85,7.57,11.30,4.27,8.08,14.28,8.24,3.95,10.40,9.47,11.67,6.57,8.99,5.38,1.00
4.86,4.15,6.53,8.82,5.88,6.51,3.78,3.90,3.89,9.52,8.64,3.90,8.96,10.56,8.12,1.00
9.42,7.80,8.71,9.83,4.47,4.27,13.71,7.61,4.05,4.26,9.30,10.65,3.70,7.38,6.10,1.00
5.02,10.02,8.72,9.19,3.79,6.50,3.91,9.29,4.20,4.22,7.44,3.98,3.89,4.10,4.36,0.00
5.21,6.09,8.32,8.47,5.78,7.05,4.08,6.42,4.06,11.89,9.34,3.96,6.32,7.77,10.55,1.00
9.17,7.44,8.26,9.67,3.82,7.42,4.18,3.84,3.83,10.52,9.11,10.58,5.18,3.79,8.55,1.00
4.45,7.01,7.62,7.31,5.85,10.58,4.14,6.65,3.93,8.62,8.48,4.11,7.16,5.31,4.53,0.00
8.38,5.60,9.04,9.83,5.57,9.06,4.33,7.26,4.05,8.63,8.63,3.73,5.75,4.62,7.75,0.00
5.05,5.56,8.19,7.48,4.45,6.88,3.91,7.25,3.99,4.35,5.10,3.78,4.07,4.21,5.26,0.00
10.64,9.39,8.12,9.36,4.44,4.18,4.06,4.58,3.98,4.22,7.86,10.59,4.66,4.09,9.09,1.00
5.00,7.13,7.98,9.06,4.77,8.30,4.43,7.75,3.98,4.07,8.82,4.02,3.77,8.93,7.94,0.00
